place_type,canonical_code,display_name,scope,count,source_count,source_values,note
ACTIVITY,MARTIAL_ARTS_GYM,체육도장,NOT_EXPOSED,4898,1,체육시설업:체육도장업 | 체육시설업:체육도장업,
ACTIVITY,GOLF_RANGE,골프연습장,EXPOSED,4320,2,상가정보:골프 연습장 | 체육시설업:골프연습장업 | 체육시설업:골프연습장업,
ACTIVITY,KARAOKE,노래방,EXPOSED,3096,1,상가정보:노래방,
ACTIVITY,BILLIARDS,당구장,EXPOSED,1588,1,상가정보:당구장,
ACTIVITY,AMUSEMENT_OTHER,기타 오락장,EXPOSED,1454,2,상가정보:기타 오락장 | 테마파크:테마파크업(기타) | 테마파크:신고테마파크업,
ACTIVITY,STUDY_CAFE,독서실·스터디카페,NOT_EXPOSED,1328,1,상가정보:독서실/스터디 카페,
ACTIVITY,PC_CAFE,PC방,EXPOSED,1005,1,상가정보:PC방,
ACTIVITY,SPORTS_FACILITY_OTHER,기타 체육시설,EXPOSED,869,5,상가정보:기타 스포츠시설 운영업 | 경남공공체육시설:체육시설 | 경남공공체육시설:기타시설 | 국민체육진흥공단전국체육시설:기타시설 | 부산공공체육시설:기타 체육시설 | 체육시설업:등록체육시설업,
ACTIVITY,AMUSEMENT_SERVICE_OTHER,기타 오락서비스,EXPOSED,571,1,상가정보:기타 오락관련 서비스업,
ACTIVITY,CAR_RENTAL,렌터카,REVIEW,513,1,상가정보:자동차 대여업,이동수단 거점 — Place 정의 확정 필요
ACTIVITY,TENNIS_COURT,테니스장,EXPOSED,338,1,상가정보:테니스장,
ACTIVITY,ARCADE,오락실,EXPOSED,332,1,상가정보:전자 게임장,
ACTIVITY,SWIMMING_POOL,수영장,EXPOSED,330,2,상가정보:수영장 | 체육시설업:수영장업 | 체육시설업:수영장업,
ACTIVITY,TABLE_TENNIS,탁구장,EXPOSED,289,1,상가정보:탁구장,
ACTIVITY,WATER_SPORTS,수상레저,EXPOSED,248,2,상가정보:수상/해양 레저업 | TourAPI:레포츠,
ACTIVITY,LEISURE_RENTAL,레저장비 대여,EXPOSED,237,1,상가정보:스포츠/레크리에이션 용품 대여업,
ACTIVITY,BOWLING,볼링장,EXPOSED,154,1,상가정보:볼링장,
ACTIVITY,SPORTS_COMPLEX,종합스포츠시설,EXPOSED,147,2,상가정보:종합 스포츠시설 | 체육시설업:종합체육시설업,
ACTIVITY,GOLF_COURSE,골프장,EXPOSED,103,2,체육시설업:골프장 | 체육시설업:골프장 | TourAPI:레포츠,
ACTIVITY,KIDS_CAFE,키즈카페,EXPOSED,96,2,일반음식점:키즈카페 | 휴게음식점:키즈카페,
ACTIVITY,COMIC_CAFE,만화방·만화카페,EXPOSED,71,1,상가정보:만화방,
ACTIVITY,BOARD_GAME,기원·보드게임,EXPOSED,53,1,상가정보:바둑/장기/체스 경기 운영업,
ACTIVITY,HORSE_RIDING,승마장,EXPOSED,54,2,체육시설업:승마장업 | 체육시설업:승마장업 | TourAPI:레포츠,
ACTIVITY,FISHING,낚시터,EXPOSED,50,3,상가정보:낚시터 운영업 | 낚시터:평지 | 낚시터:저수지 | TourAPI:레포츠,
ACTIVITY,UNRESOLVED_SPORTS,미확정(체육시설),UNRESOLVED,40,1,경남공공체육시설:(빈값),
ACTIVITY,SEA_FISHING,바다낚시터,EXPOSED,28,1,낚시터:바다,
ACTIVITY,COMMUNITY_SPORTS,생활체육시설,EXPOSED,27,1,경남공공체육시설:생활체육시설,
ACTIVITY,VIDEO_ROOM,비디오방,NOT_EXPOSED,16,1,상가정보:비디오방,
ACTIVITY,SQUASH_RACKETBALL,스쿼시·라켓볼장,EXPOSED,15,1,상가정보:스쿼시/라켓볼장,
ACTIVITY,INDOOR_FISHING,실내낚시터,REVIEW,11,1,낚시터:기타,
ACTIVITY,MOTOR_CIRCUIT,자동차경주장,EXPOSED,1,1,체육시설업:자동차경주장,
ACTIVITY,AIR_SPORTS,패러글라이딩·항공레저,EXPOSED,2,1,TourAPI:레포츠,이번 원천에 미관측 — 사업자등록 기반 원천의 구조적 한계
ACTIVITY,TRAIL_WALKING,트레킹·둘레길,EXPOSED,19,1,TourAPI:레포츠,이번 원천에 미관측 — 사업자등록 기반 원천의 구조적 한계
ACTIVITY,KART_LUGE_RAILBIKE,카트·루지·레일바이크,EXPOSED,7,1,TourAPI:레포츠,이번 원천에 미관측 — 사업자등록 기반 원천의 구조적 한계
ACTIVITY,SKI_SNOW,스키·눈썰매,EXPOSED,2,1,TourAPI:레포츠,이번 원천에 미관측 — 사업자등록 기반 원천의 구조적 한계
ACTIVITY,YACHT_BOAT,요트·보트,EXPOSED,11,1,TourAPI:레포츠,이번 원천에 미관측 — 사업자등록 기반 원천의 구조적 한계
ACTIVITY,CYCLING,자전거,EXPOSED,0,0,,이번 원천에 미관측 — 사업자등록 기반 원천의 구조적 한계
ACTIVITY,GENERAL_ACTIVITY,기타 액티비티,EXPOSED,250,1,TourAPI:레포츠,이번 원천에 미관측 — 사업자등록 기반 원천의 구조적 한계
BAR,GASTRO_PUB,요리주점·포차,EXPOSED,12028,2,상가정보:요리 주점 | 일반음식점:정종/대포집/소주방 | 일반음식점:감성주점,
BAR,CHICKEN_HOF,치킨호프,EXPOSED,8645,1,일반음식점:호프/통닭,
BAR,ADULT_ENTERTAINMENT,유흥주점,NOT_EXPOSED,6815,1,상가정보:일반 유흥 주점,성인 유흥
BAR,SINGING_PUB,단란주점,REVIEW,2779,1,단란주점영업:단란주점,
BAR,BEER_HOUSE,생맥주 전문점,EXPOSED,1784,1,상가정보:생맥주 전문,
BAR,DANCE_CLUB_ADULT,무도 유흥주점,NOT_EXPOSED,177,1,상가정보:무도 유흥 주점,성인 유흥
BAR,LIVE_CAFE,라이브카페,EXPOSED,80,1,일반음식점:라이브카페,
BAR,TRADITIONAL_PUB,전통주점,EXPOSED,0,0,,이번 원천에 미관측 — 사업자등록 기반 원천의 구조적 한계
CAFE,GENERAL_CAFE,카페,EXPOSED,29594,3,상가정보:카페 | 일반음식점:까페 | 휴게음식점:커피숍,
CAFE,BAKERY,베이커리·도넛,EXPOSED,7268,3,상가정보:빵/도넛 | 제과점:제과점영업 | 휴게음식점:과자점,
CAFE,TTEOK_HANGWA,떡·한과,EXPOSED,1681,2,상가정보:떡/한과 | 휴게음식점:떡카페,
CAFE,DABANG,다방,REVIEW,911,1,휴게음식점:다방,
CAFE,ICE_CREAM_BINGSU,아이스크림·빙수,EXPOSED,670,2,상가정보:아이스크림/빙수 | 휴게음식점:아이스크림,
CAFE,TRADITIONAL_TEA,전통찻집,EXPOSED,230,2,일반음식점:전통찻집 | 휴게음식점:전통찻집,
PARKING_LOT,PARKING_LOT,주차장,EXPOSED,2510,1,주차장:2510건,이번 원천에 미관측 — 사업자등록 기반 원천의 구조적 한계
RESTAURANT,KOREAN_BAEKBAN,백반·한정식,EXPOSED,73059,3,상가정보:백반/한정식 | 일반음식점:한식 | 휴게음식점:한식,
RESTAURANT,UNRESOLVED_FOOD,미확정(음식점 기타),UNRESOLVED,23470,2,일반음식점:기타 | 일반음식점:(빈값) | 휴게음식점:기타 휴게음식점 | 휴게음식점:일반조리판매,
RESTAURANT,PORK_BBQ,돼지고기 구이·찜,EXPOSED,17765,3,상가정보:돼지고기 구이/찜 | 일반음식점:식육(숯불구이) | TourAPI:음식점,
RESTAURANT,BUNSIK,김밥·분식,EXPOSED,12879,3,상가정보:김밥/만두/분식 | 일반음식점:분식 | 일반음식점:김밥(도시락) | TourAPI:음식점,
RESTAURANT,SASHIMI_HOUSE,횟집,EXPOSED,8932,3,상가정보:횟집 | 일반음식점:횟집 | TourAPI:음식점,
RESTAURANT,CHICKEN,치킨,EXPOSED,8291,3,상가정보:치킨 | 일반음식점:통닭(치킨) | TourAPI:음식점,
RESTAURANT,GYEONGYANGSIK,경양식,EXPOSED,7855,2,상가정보:경양식 | 일반음식점:경양식,
RESTAURANT,CHINESE,중식,EXPOSED,7854,3,상가정보:중국집 | 일반음식점:중국식 | TourAPI:음식점,
RESTAURANT,KOREAN_SOUP_STEW,국·탕·찌개,EXPOSED,5268,3,상가정보:국/탕/찌개류 | 일반음식점:탕류(보신용) | TourAPI:음식점,
RESTAURANT,SUSHI,초밥·일식회,EXPOSED,5056,3,상가정보:일식 회/초밥 | 일반음식점:일식 | TourAPI:음식점,
RESTAURANT,KOREAN_NOODLE,국수·칼국수,EXPOSED,3276,2,상가정보:국수/칼국수 | TourAPI:음식점,
RESTAURANT,SEAFOOD_GRILL,해산물 구이·찜,EXPOSED,2570,1,상가정보:해산물 구이/찜,
RESTAURANT,BURGER,버거,EXPOSED,2368,4,상가정보:버거 | 일반음식점:패스트푸드 | 휴게음식점:패스트푸드 | TourAPI:음식점,
RESTAURANT,PIZZA,피자,EXPOSED,2364,2,상가정보:피자 | TourAPI:음식점,
RESTAURANT,CAFETERIA,구내식당,NOT_EXPOSED,1333,1,상가정보:구내식당,외부인 방문 불가
RESTAURANT,GENERAL_RESTAURANT,기타 음식점,EXPOSED,2669,2,상가정보:그 외 기타 간이 음식점 | TourAPI:음식점,
RESTAURANT,COLD_NOODLE,냉면·밀면,EXPOSED,1212,3,상가정보:냉면/밀면 | 일반음식점:냉면집 | TourAPI:음식점,
RESTAURANT,JOKBAL_BOSSAM,족발·보쌈,EXPOSED,1172,2,상가정보:족발/보쌈 | TourAPI:음식점,
RESTAURANT,CHICKEN_DUCK_DISH,닭·오리 요리,EXPOSED,1088,1,상가정보:닭/오리고기 구이/찜,
RESTAURANT,GOPCHANG,곱창·전골,EXPOSED,1036,2,상가정보:곱창 전골/구이 | TourAPI:음식점,
RESTAURANT,BEEF_BBQ,소고기 구이·찜,EXPOSED,903,2,상가정보:소고기 구이/찜 | TourAPI:음식점,
RESTAURANT,VIETNAMESE,베트남 음식,EXPOSED,716,1,상가정보:베트남식 전문,
RESTAURANT,BUFFET,뷔페,EXPOSED,649,2,상가정보:뷔페 | 일반음식점:뷔페식,
RESTAURANT,SOUTHEAST_ASIAN,동남아 음식,EXPOSED,644,2,"상가정보:기타 동남아식 전문 | 일반음식점:외국음식전문점(인도,태국등)",
RESTAURANT,FOOD_TRUCK,푸드트럭,REVIEW,603,2,일반음식점:이동조리 | 일반음식점:푸드트럭 | 휴게음식점:푸드트럭,
RESTAURANT,MALA_HOTPOT,마라탕·훠궈,EXPOSED,489,1,상가정보:마라탕/훠궈,
RESTAURANT,SANDWICH_SALAD,샌드위치·샐러드,EXPOSED,466,1,상가정보:토스트/샌드위치/샐러드,
RESTAURANT,BLOWFISH,복 요리,EXPOSED,344,2,상가정보:복 요리 전문 | 일반음식점:복어취급,
RESTAURANT,DONKATSU_DONBURI,돈가스·덮밥·카레,EXPOSED,325,2,상가정보:일식 카레/돈가스/덮밥 | TourAPI:음식점,
RESTAURANT,RAMEN_UDON,일식 면요리,EXPOSED,322,1,상가정보:일식 면 요리,
RESTAURANT,UNRESOLVED_VENUE_LABEL,미확정(입지 라벨),UNRESOLVED,255,1,휴게음식점:백화점 | 휴게음식점:고속도로 | 휴게음식점:극장 | 휴게음식점:철도역구내 | 휴게음식점:유원지 | 휴게음식점:관광호텔 | 휴게음식점:공항,
RESTAURANT,KOREAN_OTHER,기타 한식,EXPOSED,220,1,상가정보:기타 한식 음식점,
RESTAURANT,PASTA_STEAK,파스타·스테이크,EXPOSED,214,2,상가정보:파스타/스테이크 | TourAPI:음식점,
RESTAURANT,FAMILY_RESTAURANT,패밀리레스토랑,EXPOSED,180,2,상가정보:패밀리레스토랑 | 일반음식점:패밀리레스트랑,
RESTAURANT,JAPANESE,기타 일식,EXPOSED,126,1,상가정보:기타 일식 음식점,
RESTAURANT,JEON,전·부침개,EXPOSED,88,1,상가정보:전/부침개,
RESTAURANT,WESTERN,기타 양식,EXPOSED,84,1,상가정보:기타 서양식 음식점,
RESTAURANT,FOREIGN_OTHER,기타 외국음식,EXPOSED,3,1,상가정보:분류 안된 외국식 음식점,
SERVICE,HAIR_SALON,미용실,NOT_EXPOSED,19376,1,상가정보:미용실,
SERVICE,REAL_ESTATE_AGENCY,부동산중개,NOT_EXPOSED,13345,1,상가정보:부동산 중개/대리업,
SERVICE,CRAM_SCHOOL,입시학원,NOT_EXPOSED,6116,1,상가정보:입시·교과학원,
SERVICE,SKIN_CARE,피부관리실,NOT_EXPOSED,5972,1,상가정보:피부 관리실,
SERVICE,AUTO_REPAIR,자동차정비소,NOT_EXPOSED,5748,1,상가정보:자동차 정비소,
SERVICE,NAIL_SHOP,네일숍,NOT_EXPOSED,4551,1,상가정보:네일숍,
SERVICE,MGMT_CONSULTING,경영컨설팅,NOT_EXPOSED,3733,1,상가정보:경영 컨설팅업,
SERVICE,INTERIOR_DESIGN,인테리어디자인,NOT_EXPOSED,2884,1,상가정보:인테리어 디자인업,
SERVICE,YOGA_PILATES,요가·필라테스,NOT_EXPOSED,2855,1,상가정보:요가/필라테스 학원,
SERVICE,LAUNDRY,세탁소,NOT_EXPOSED,2670,1,상가정보:세탁소,
SERVICE,BUILDING_CLEANING,건물청소,NOT_EXPOSED,2634,1,상가정보:건축물 일반 청소업,
SERVICE,ARCHITECTURE_OFFICE,건축설계사무소,NOT_EXPOSED,2533,1,상가정보:건축 설계 및 관련 서비스업,
SERVICE,SIGNAGE_PRINT,간판·인쇄,NOT_EXPOSED,2370,1,상가정보:명함/간판/광고물 제작,
SERVICE,CAR_WASH,세차장,NOT_EXPOSED,2173,1,상가정보:자동차 세차장,
SERVICE,PHOTO_STUDIO,사진관·스냅촬영,REVIEW,2157,1,상가정보:사진촬영업,여행 스냅·셀프사진관 콘텐츠 가능성
SERVICE,ENGINEERING_OTHER,엔지니어링,NOT_EXPOSED,2127,1,상가정보:기타 엔지니어링 서비스업,
SERVICE,AD_AGENCY,광고대행,NOT_EXPOSED,2015,1,상가정보:광고 대행업,
SERVICE,VOCATIONAL_SCHOOL,직업훈련학원,NOT_EXPOSED,1867,1,상가정보:기타 기술/직업 훈련학원,
SERVICE,APPLIANCE_REPAIR,가전수리,NOT_EXPOSED,1756,1,상가정보:가전제품 수리업,
SERVICE,TAX_ACCOUNTANT,세무사,NOT_EXPOSED,1727,1,상가정보:세무사,
SERVICE,TRAVEL_AGENCY,여행사,NOT_EXPOSED,1724,1,상가정보:여행사,
SERVICE,EVENT_AGENCY,행사대행,NOT_EXPOSED,1454,1,상가정보:전시/컨벤션/행사 대행 서비스업,
SERVICE,EMPLOYMENT_AGENCY,고용알선,NOT_EXPOSED,1308,1,상가정보:고용 알선업,
SERVICE,MUSIC_ACADEMY,음악학원,NOT_EXPOSED,1220,1,상가정보:음악학원,
SERVICE,MARTIAL_ARTS_ACADEMY,태권도·무술학원,NOT_EXPOSED,1164,1,상가정보:태권도/무술학원,
SERVICE,COMPUTER_REPAIR,컴퓨터수리,NOT_EXPOSED,1123,1,상가정보:컴퓨터/노트북/프린터 수리업,
SERVICE,GRAPHIC_DESIGN,시각디자인,NOT_EXPOSED,1082,1,상가정보:시각 디자인업,
SERVICE,CIVIL_ENGINEERING,토목엔지니어링,NOT_EXPOSED,1038,1,상가정보:건물 및 토목 엔지니어링 서비스업,
SERVICE,JUDICIAL_SCRIVENER,법무사,NOT_EXPOSED,1036,1,상가정보:법무사,
SERVICE,LAW_FIRM,법률사무소,NOT_EXPOSED,1000,1,상가정보:변호사,
SERVICE,REPAIR_OTHER,기타 수리,NOT_EXPOSED,969,1,상가정보:그 외 기타 개인/가정용품 수리업,
SERVICE,MASSAGE,마사지·안마,NOT_EXPOSED,917,1,상가정보:마사지/안마,
SERVICE,ART_ACADEMY,미술학원,NOT_EXPOSED,874,1,상가정보:미술학원,
SERVICE,CLOTHING_REPAIR,의류수선,NOT_EXPOSED,868,1,상가정보:의류/이불 수선업,
SERVICE,EDU_SUPPORT,교육지원서비스,NOT_EXPOSED,862,1,상가정보:기타 교육지원 서비스업,
SERVICE,TEMP_STAFFING,인력공급,NOT_EXPOSED,839,1,상가정보:임시/일용 인력 공급업,
SERVICE,EDU_OTHER,기타 교육기관,NOT_EXPOSED,817,1,상가정보:그 외 기타 교육기관,
SERVICE,FACILITY_MANAGEMENT,시설관리,NOT_EXPOSED,794,1,상가정보:사업시설 유지·관리 서비스업,
SERVICE,AD_PRODUCTION,광고물제작,NOT_EXPOSED,790,1,상가정보:광고물 설계/제작업,
SERVICE,DENTAL_CLINIC,치과의원,NOT_EXPOSED,788,1,상가정보:치과의원,
SERVICE,RECREATION_EDU,레크리에이션 교육,NOT_EXPOSED,726,1,상가정보:레크리에이션 교육기관,
SERVICE,BODY_CARE,체형관리,NOT_EXPOSED,663,1,상가정보:체형/비만 관리,
SERVICE,LANGUAGE_ACADEMY,외국어학원,NOT_EXPOSED,620,1,상가정보:외국어학원,
SERVICE,MOTORCYCLE_REPAIR,모터사이클수리,NOT_EXPOSED,616,1,상가정보:모터사이클 수리업,
SERVICE,VETERINARY,동물병원,NOT_EXPOSED,599,1,상가정보:동물병원,
SERVICE,PEST_CONTROL,방제·소독,NOT_EXPOSED,594,1,상가정보:소독; 구충 및 방제 서비스업,
SERVICE,ARTS_SPORTS_EDU,예술·스포츠 교육,NOT_EXPOSED,563,1,상가정보:기타 예술/스포츠 교육기관,
SERVICE,DERMATOLOGY_CLINIC,피부/비뇨기과 의원,NOT_EXPOSED,563,1,상가정보:피부/비뇨기과 의원,
SERVICE,SELF_LAUNDRY,셀프빨래방,NOT_EXPOSED,549,1,상가정보:셀프 빨래방,
SERVICE,INDUSTRIAL_CLEANING,산업청소,NOT_EXPOSED,546,1,상가정보:산업설비; 운송장비 및 공공장소 청소업,
SERVICE,KOREAN_MED_CLINIC,한의원,NOT_EXPOSED,542,1,상가정보:한의원,
SERVICE,FUNERAL_HALL,장례식장,NOT_EXPOSED,487,1,상가정보:장례식장,
SERVICE,HOUSEHOLD_RENTAL,생활용품 대여,NOT_EXPOSED,481,1,상가정보:기타 개인/가정용품 대여업,
SERVICE,EDU_CONSULTING,교육컨설팅,NOT_EXPOSED,477,1,상가정보:교육컨설팅업,
SERVICE,INTERNAL_CLINIC,내과/소아과 의원,NOT_EXPOSED,455,1,상가정보:내과/소아과 의원,
SERVICE,CONSTRUCTION_EQUIP_RENTAL,건설장비대여,NOT_EXPOSED,451,1,상가정보:건설기계/장비 대여업,
SERVICE,INDUSTRIAL_EQUIP_RENTAL,산업장비대여,NOT_EXPOSED,431,1,상가정보:기타 산업용 기계/장비 대여업,
SERVICE,ADMIN_AGENT,행정사,NOT_EXPOSED,429,1,상가정보:행정사,
SERVICE,ALT_MEDICINE,유사 의료업,NOT_EXPOSED,370,1,상가정보:유사 의료업,
SERVICE,VEHICLE_RENTAL_OTHER,기타 운송장비 대여,NOT_EXPOSED,312,1,상가정보:기타 운송장비 대여업,
SERVICE,OFFICE_EQUIP_RENTAL,사무기기대여,NOT_EXPOSED,303,1,상가정보:컴퓨터/사무기기 대여업,
SERVICE,COPY_SHOP,복사·출력,NOT_EXPOSED,296,1,상가정보:복사업,
SERVICE,HR_SERVICE,인사관리서비스,NOT_EXPOSED,264,1,상가정보:상용 인력 공급 및 인사관리 서비스업,
SERVICE,NURSING_HOSPITAL,요양병원,NOT_EXPOSED,260,1,상가정보:요양병원,
SERVICE,PRODUCT_DESIGN,제품디자인,NOT_EXPOSED,258,1,상가정보:제품 디자인업,
SERVICE,CORPORATE_TRAINING,직원훈련기관,NOT_EXPOSED,258,1,상가정보:직원 훈련기관,
SERVICE,PACKAGING_SERVICE,포장·충전,NOT_EXPOSED,247,1,상가정보:포장/충전업,
SERVICE,CPA_OFFICE,회계사무소,NOT_EXPOSED,238,1,상가정보:공인회계사,
SERVICE,ENV_ENGINEERING,환경엔지니어링,NOT_EXPOSED,229,1,상가정보:환경 관련 엔지니어링 서비스업,
SERVICE,GENERAL_HOSPITAL,일반병원,NOT_EXPOSED,225,1,상가정보:일반병원 | 상가정보:종합병원,
SERVICE,SURGERY_CLINIC,외과 의원,NOT_EXPOSED,221,1,상가정보:외과 의원,
SERVICE,MATCHMAKING,결혼상담,NOT_EXPOSED,219,1,상가정보:결혼 상담 서비스업,
SERVICE,LANDSCAPING,조경관리,NOT_EXPOSED,207,1,상가정보:조경 유지·관리 서비스업,
SERVICE,TRANSLATION_SERVICE,번역·통역,NOT_EXPOSED,204,1,상가정보:번역/통역 서비스업,
SERVICE,OUTDOOR_AD,옥외광고,NOT_EXPOSED,202,1,상가정보:옥외/전시 광고 대행업,
SERVICE,PLASTIC_SURGERY,성형외과 의원,NOT_EXPOSED,201,1,상가정보:성형외과 의원,
SERVICE,MOBILE_REPAIR,휴대폰수리,NOT_EXPOSED,199,1,상가정보:핸드폰/통신장비 수리업,
SERVICE,IP_BROKERAGE,지식재산중개,NOT_EXPOSED,190,1,상가정보:사업/무형 재산권 중개업,
SERVICE,CLINIC_OTHER,기타 의원,NOT_EXPOSED,188,1,상가정보:기타 의원,
SERVICE,AD_SERVICE_OTHER,기타 광고서비스,NOT_EXPOSED,187,1,상가정보:기타 광고 관련 서비스업,
SERVICE,LABOR_ATTORNEY,노무사,NOT_EXPOSED,184,1,상가정보:공인노무사,
SERVICE,URBAN_PLANNING,도시계획·조경설계,NOT_EXPOSED,183,1,상가정보:도시 계획 및 조경 설계 서비스업,
SERVICE,OFFICE_SUPPORT,사무지원,NOT_EXPOSED,180,1,상가정보:기타 사무 지원 서비스업,
SERVICE,TRAVEL_SERVICE_OTHER,여행 보조서비스,NOT_EXPOSED,179,1,상가정보:기타 여행 보조/예약 서비스업,
SERVICE,LEATHER_REPAIR,가방·구두수선,NOT_EXPOSED,141,1,상가정보:가죽/가방/신발 수선업,
SERVICE,CEMETERY_CREMATORY,장묘시설,NOT_EXPOSED,135,1,상가정보:화장터/묘지/납골당,
SERVICE,FASHION_DESIGN,패션디자인,NOT_EXPOSED,111,1,상가정보:패션/섬유/기타 전문 디자인업,
SERVICE,MARKET_RESEARCH,시장조사,NOT_EXPOSED,103,1,상가정보:시장 조사 및 여론 조사업,
SERVICE,COMPUTER_ACADEMY,컴퓨터학원,NOT_EXPOSED,100,1,상가정보:컴퓨터 학원,
SERVICE,WEDDING_HALL,예식장,NOT_EXPOSED,98,1,상가정보:예식장업,
SERVICE,NEURO_PSYCH_CLINIC,신경·정신과,NOT_EXPOSED,95,1,상가정보:신경/정신과 의원,
SERVICE,OBGYN_CLINIC,산부인과 의원,NOT_EXPOSED,95,1,상가정보:산부인과 의원,
SERVICE,DRIVING_SCHOOL,운전학원,NOT_EXPOSED,95,1,상가정보:운전학원,
SERVICE,YOUTH_CENTER,청소년수련시설,NOT_EXPOSED,91,1,상가정보:청소년 수련시설,
SERVICE,SOCIAL_EDU_CENTER,사회교육시설,NOT_EXPOSED,84,1,상가정보:사회교육시설,
SERVICE,ENT_CLINIC,이비인후과 의원,NOT_EXPOSED,67,1,상가정보:이비인후과 의원,
SERVICE,EYE_CLINIC,안과 의원,NOT_EXPOSED,62,1,상가정보:안과 의원,
SERVICE,DENTAL_HOSPITAL,치과병원,NOT_EXPOSED,62,1,상가정보:치과병원,
SERVICE,PATENT_ATTORNEY,변리사,NOT_EXPOSED,57,1,상가정보:변리사,
SERVICE,WATCH_JEWELRY_REPAIR,시계·귀금속수리,NOT_EXPOSED,54,1,상가정보:시계/귀금속/악기 수리업,
SERVICE,KOREAN_MED_HOSPITAL,한방병원,NOT_EXPOSED,54,1,상가정보:한방병원,
SERVICE,LEGAL_SERVICE_OTHER,기타 법무서비스,NOT_EXPOSED,47,1,상가정보:기타 법무관련 서비스업,
SERVICE,AD_MEDIA_SALES,광고매체판매,NOT_EXPOSED,44,1,상가정보:광고 매체 판매업,
SERVICE,EXAM_ACADEMY,고시학원,NOT_EXPOSED,42,1,상가정보:전문자격/고시학원,
SERVICE,CATERING,출장요리,NOT_EXPOSED,34,1,일반음식점:출장조리,
SERVICE,DIAGNOSTIC_CLINIC,진단검사의원,NOT_EXPOSED,23,1,상가정보:방사선 진단/병리 검사 의원,
SERVICE,ACCOUNTING_OTHER,기타 회계서비스,NOT_EXPOSED,9,1,상가정보:기타 회계 관련 서비스업,
SERVICE,MEDIA_RENTAL,음반·비디오 대여,NOT_EXPOSED,6,1,상가정보:음반/비디오물 대여업,
SHOP,CONVENIENCE_STORE,편의점,EXPOSED,10708,3,상가정보:편의점 | 휴게음식점:편의점 | TourAPI:쇼핑,
SHOP,SUPERMARKET,슈퍼마켓,EXPOSED,9604,1,상가정보:슈퍼마켓,
SHOP,CLOTHING_SHOP,의류점,EXPOSED,7538,1,상가정보:기타 의류 소매업,
SHOP,WOMENS_CLOTHING,여성의류점,EXPOSED,5928,1,상가정보:여성 의류 소매업,
SHOP,COSMETICS_SHOP,화장품점,EXPOSED,4218,1,상가정보:화장품 소매업,
SHOP,MOBILE_SHOP,휴대폰점,NOT_EXPOSED,3411,1,상가정보:핸드폰 소매업,
SHOP,PHARMACY,약국,NOT_EXPOSED,3400,1,상가정보:약국,
SHOP,PRODUCE_SHOP,청과점,NOT_EXPOSED,2346,1,상가정보:채소/과일 소매업,
SHOP,SIDE_DISH_SHOP,반찬가게,NOT_EXPOSED,2320,1,상가정보:반찬/식료품 소매업,
SHOP,HARDWARE_SHOP,철물점,NOT_EXPOSED,2242,1,상가정보:철물/공구 소매업,
SHOP,BUTCHER_SHOP,정육점,NOT_EXPOSED,2168,1,상가정보:정육점,
SHOP,HEALTH_FOOD_SHOP,건강식품점,NOT_EXPOSED,1927,1,상가정보:건강보조식품 소매업,
SHOP,JEWELRY_WATCH_SHOP,시계·귀금속점,EXPOSED,1903,1,상가정보:시계/귀금속 소매업,
SHOP,GAS_STATION,주유소,REVIEW,1841,1,상가정보:주유소,여행 중 실사용 인프라
